yearcombine,idplayer,namefirst,namelast,nameplayer,slugposition,heightwoshoesinches,heightwoshoes,weightlbs,wingspaninches,wingspan,reachstandinginches,reachstandingo,verticalleapstandinginches,verticalleapmaxinches,timelaneagility,timethreequartercourtsprint,repsbenchpress135
2021,1630177,Theo,Maledon,Theo Maledon,PG,76.0,6'4.00'',187.4,80.75,6'8.75'',100.5,8'4.50'',,,,,
2021,1630211,Karim,Mane,Karim Mane,PG-SG,77.0,6'5.00'',196.0,83.0,6'11.00'',102.0,8'6.00'',31.0,36.0,11.52,3.04,
2021,1630230,Naji,Marshall,Naji Marshall,SF,77.75,6'5.75'',233.5,84.75,7'0.75'',102.5,8'6.50'',28.5,35.0,11.77,3.37,
2021,1630231,Kenyon,Martin Jr.,Kenyon Martin Jr.,SF-PF,78.0,6'6.00'',213.2,79.25,6'7.25'',102.0,8'6.00'',31.5,38.5,11.93,3.16,
2021,1630219,Skylar,Mays,Skylar Mays,SG,75.0,6'3.00'',204.0,78.0,6'6.00'',99.0,8'3.00'',29.0,37.5,10.65,3.3,
2021,1630192,Zeke,Nnaji,Zeke Nnaji,PF-C,81.25,6'9.25'',246.8,86.0,7'2.00'',105.5,8'9.50'',33.0,38.0,10.94,3.2,
2021,1629670,Jordan,Nwora,Jordan Nwora,SF-PF,77.75,6'5.75'',223.0,82.25,6'10.25'',104.0,8'8.00'',29.0,35.0,11.29,3.43,
2021,1629617,Reggie,Perry,Reggie Perry,PF-C,80.25,6'8.25'',249.6,84.25,7'0.25'',106.5,8'10.50'',30.0,33.5,11.26,3.25,
2021,1629619,Myles,Powell,Myles Powell,PG-SG,72.5,6'0.50'',194.0,79.0,6'7.00'',99.0,8'3.00'',,,,,
2021,1630193,Immanuel,Quickley,Immanuel Quickley,SG,74.0,6'2.00'',185.8,80.25,6'8.25'',99.0,8'3.00'',29.5,35.5,11.21,3.17,
2021,1630186,Jahmi'us,Ramsey,Jahmi'us Ramsey,SG,74.5,6'2.50'',193.4,78.0,6'6.00'',100.5,8'4.50'',,,,,
2021,1630194,Paul,Reed Jr.,Paul Reed Jr.,PF,80.5,6'8.50'',219.2,86.0,7'2.00'',109.5,9'1.50'',26.5,37.5,12.29,3.45,
2021,1630208,Nick,Richards,Nick Richards,C,82.5,6'10.50'',241.6,86.25,7'2.25'',110.0,9'2.00'',30.0,34.0,11.42,3.25,
2021,1630203,Grant,Riller,Grant Riller,PG-SG,72.25,6'0.25'',178.4,77.25,6'5.25'',96.5,8'0.50'',32.5,39.5,11.17,3.07,
2021,1630206,Jayden,Scrubb,Jayden Scrubb,SG-SF,77.0,6'5.00'',185.2,81.5,6'9.50'',104.5,8'8.50'',,,,,
2021,1630188,Jalen,Smith,Jalen Smith,PF-C,81.25,6'9.25'',224.6,86.25,7'2.25'',110.0,9'2.00'',,,,,
2021,1630199,Cassius,Stanley,Cassius Stanley,SG,77.0,6'5.00'',201.6,79.0,6'7.00'',99.5,8'3.50'',34.5,44.0,11.4,3.09,
2021,1630205,Lamar,Stevens,Lamar Stevens,SF-PF,77.75,6'5.75'',228.0,81.0,6'9.00'',101.0,8'5.00'',35.0,41.0,10.35,3.2,
2021,1630191,Isaiah,Stewart,Isaiah Stewart,C,79.25,6'7.25'',243.0,88.75,7'4.75'',108.5,9'0.50'',,,,,
2021,1630179,Tyrell,Terry,Tyrell Terry,PG,73.5,6'1.50'',170.0,73.75,6'1.75'',96.0,8'0.00'',30.0,34.0,10.78,3.28,
2021,1629681,Killian,Tillie,Killian Tillie,PF,80.75,6'8.75'',221.6,80.0,6'8.00'',106.0,8'10.00'',27.5,32.0,11.6,3.4,
2021,1630214,Xavier,Tillman Sr.,Xavier Tillman Sr.,PF-C,79.5,6'7.50'',266.5,86.0,7'2.00'',106.0,8'10.00'',26.0,32.5,11.8,3.49,
2021,1629700,Kaleb,Wesson,Kaleb Wesson,C,81.25,6'9.25'',252.6,87.5,7'3.50'',111.5,9'3.50'',21.5,27.0,11.73,3.6,
2021,1630232,Kahlil,Whitney,Kahlil Whitney,SF,77.5,6'5.50'',205.0,84.25,7'0.25'',105.5,8'9.50'',29.0,39.0,11.17,3.28,
2021,1630216,Cassius,Winston,Cassius Winston,PG,72.5,6'0.50'',196.0,78.0,6'6.00'',97.0,8'1.00'',24.0,28.0,11.15,3.61,
2021,1630218,Robert,Woodard II,Robert Woodard II,SF,77.5,6'5.50'',230.2,86.0,7'2.00'',105.5,8'9.50'',32.0,38.0,11.1,3.18,
